TIMESTAMP,OBSERVED,GROWTH,DECAY,OOS_DECAY,SEASON_START,SEASON_END,SHARPNESS,FORCING_PEAK,SCORE,WRAPS_YEAR
2026-05-01 18:23:25,redwing_observed.csv,2.0,1.5,3.0,11.03,2.12,2.819,1.81,0.3157102971385825817519723865,True
2026-05-01 18:24:20,redwing_observed.csv,2.0,1.5,3.0,11.66,2.02,7.406,1.49,0.3137985350453053747327416174,True
2026-05-01 18:25:14,redwing_observed.csv,2.0,1.5,3.0,11.11,2.01,3.742,1.37,0.2872093370672341428801775147,True
2026-05-01 18:26:08,redwing_observed.csv,2.0,1.5,3.0,11.02,2.01,3.482,1.54,0.3026725521428448291429980275,True
2026-05-01 18:31:49,redwing_observed.csv,2.0,1.5,3.0,11.19,2.0,5.868,1.59,0.3085657676277442620853057199,True
2026-05-01 18:32:43,redwing_observed.csv,2.0,1.5,3.0,11.07,2.07,6.17,1.91,0.3157903478666645678256262327,True
2026-05-01 18:33:37,redwing_observed.csv,2.0,1.5,3.0,11.24,2.14,4.025,2.11,0.3095955060816627754442800788,True
2026-05-01 18:34:58,redwing_observed.csv,2.0,1.5,3.0,11.27,2.01,4.174,1.88,0.3133125698883049940660749506,True
2026-05-01 18:35:52,redwing_observed.csv,2.0,1.5,3.0,11.06,2.26,3.742,1.38,0.3134695269432429311429980275,True
2026-05-01 18:36:46,redwing_observed.csv,2.0,1.5,3.0,11.39,2.0,5.937,1.8,0.3159448602525945784250493096,True
2026-05-01 18:38:58,redwing_observed.csv,2.0,1.5,3.0,11.1,2.01,3.908,1.52,0.2849544241771008895788954634,True
2026-05-01 18:39:53,redwing_observed.csv,2.0,1.5,3.0,11.51,2.07,5.295,1.4,0.3136085082092889392327416173,True
2026-05-01 18:40:48,redwing_observed.csv,2.0,1.5,3.0,11.03,2.01,6.806,1.45,0.3049356386070858416750493096,True
2026-05-01 18:41:42,redwing_observed.csv,2.0,1.5,3.0,11.19,2.02,5.338,1.34,0.2931925596097363957776134121,True
2026-05-01 18:42:36,redwing_observed.csv,2.0,1.5,3.0,11.77,2.15,7.076,2.0,0.3226732751649435385960749507,True
2026-05-01 18:43:35,redwing_observed.csv,2.0,1.5,3.0,11.04,2.01,6.663,1.31,0.3072796352306476562379980275,True
2026-05-01 18:46:24,redwing_observed.csv,2.0,1.5,3.0,11.45,2.02,5.899,1.19,0.3151131214324929419827416173,True
2026-05-01 18:47:19,redwing_observed.csv,2.0,1.5,3.0,11.02,2.22,3.416,1.42,0.3057173306310777092904339250,True
2026-05-01 18:48:13,redwing_observed.csv,2.0,1.5,3.0,11.14,2.01,3.031,2.0,0.2915385468915063660276134121,True
2026-05-01 18:49:08,redwing_observed.csv,2.0,1.5,3.0,11.0,2.01,7.499,1.38,0.3048685548791646401687031557,True
